match_id,team,player_id,player_name,metric_group,metric_name,metric_value,metric_unit,percentile_within_team,rank_within_team,interpretation_label,insight_text
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,Participation,total_actions,261.0,count,87.5,3,team leading,Oliver Sorensen ranks 3 within FCM for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,Participation,total_actions,103.0,count,52.5,10,above team median,J. Kuchta ranks 10 within FCM for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,492474,Lee Han-Beom,Participation,total_actions,2.0,count,27.5,15,around team median,Lee Han-Beom ranks 15 within FCM for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568414,M. Kruger-Johnsen,Participation,total_actions,0.0,count,12.5,16,none,M. Kruger-Johnsen ranks 16 within FCM for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,Participation,total_actions,218.0,count,67.5,7,above team median,K. Mbabu ranks 7 within FCM for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,Participation,total_actions,246.0,count,82.5,4,team leading,O. Diao ranks 4 within FCM for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477664,V. Lind,Participation,total_actions,0.0,count,12.5,16,none,V. Lind ranks 16 within FCM for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,Participation,total_actions,128.0,count,57.5,9,above team median,A. Simsir ranks 9 within FCM for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,Participation,total_actions,237.0,count,77.5,5,team leading,E. Martinez ranks 5 within FCM for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,Participation,total_actions,264.0,count,92.5,2,team leading,J. Andersson ranks 2 within FCM for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,Participation,total_actions,159.0,count,62.5,8,above team median,Franculino Dju ranks 8 within FCM for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,Participation,total_actions_per_90,218.6586,per_90,62.5,8,above team median,M. Elyounoussi ranks 8 within FCK for total actions per 90 (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,Participation,total_actions_per_90,185.4549,per_90,32.5,14,around team median,L. Lerager ranks 14 within FCK for total actions per 90 (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,535944,R. Huescas,Participation,total_actions_per_90,364.4593,per_90,97.5,1,team leading,R. Huescas ranks 1 within FCK for total actions per 90 (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,114517,A. Cornelius,Participation,total_actions_per_90,204.2419,per_90,52.5,10,above team median,A. Cornelius ranks 10 within FCK for total actions per 90 (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,622714,Robert,Participation,total_actions_per_90,0,per_90,10.0,17,none,Robert ranks 17 within FCK for total actions per 90 (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590186,V. Froholdt,Participation,total_actions_per_90,357.6056,per_90,92.5,2,team leading,V. Froholdt ranks 2 within FCK for total actions per 90 (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,Participation,total_actions_per_90,120.2195,per_90,22.5,16,low,N. Trott ranks 16 within FCK for total actions per 90 (low).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,Participation,total_actions_per_90,231.4855,per_90,72.5,6,above team median,G. Gocholeishvili ranks 6 within FCK for total actions per 90 (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,Participation,total_actions_per_90,192.9104,per_90,42.5,12,around team median,T. Delaney ranks 12 within FCK for total actions per 90 (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,Participation,total_actions_per_90,200.3659,per_90,47.5,11,around team median,K. Diks ranks 11 within FCK for total actions per 90 (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,Participation,total_actions_per_90,223.102,per_90,67.5,7,above team median,E. Achouri ranks 7 within FCK for total actions per 90 (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,Participation,total_actions_per_90,0,per_90,10.0,17,none,R. Runarsson ranks 17 within FCK for total actions per 90 (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,592864,O. Hojer,Participation,total_actions_per_90,338.2006,per_90,87.5,3,team leading,O. Hojer ranks 3 within FCK for total actions per 90 (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590187,A. Chiakha,Participation,total_actions_per_90,0,per_90,10.0,17,none,A. Chiakha ranks 17 within FCK for total actions per 90 (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,572146,M. Garan'anga,Participation,total_actions_per_90,0,per_90,10.0,17,none,M. Garan'anga ranks 17 within FCK for total actions per 90 (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,Participation,total_actions_per_90,216.2088,per_90,57.5,9,above team median,Gabriel Pereira ranks 9 within FCK for total actions per 90 (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,Participation,total_actions_per_90,187.725,per_90,37.5,13,around team median,P. Hatzidiakos ranks 13 within FCK for total actions per 90 (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,111756,V. Claesson,Participation,total_actions_per_90,333.7541,per_90,82.5,4,team leading,V. Claesson ranks 4 within FCK for total actions per 90 (team leading).
