match_id,team,period,minute_bin_5,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level,phase_context
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,team_depth,31.934,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,centroid_x,-7.2564,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,centroid_y,-4.0059,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,compactness,15.1164,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,avg_block_height,-7.2564,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,defensive_line_height,-16.1796,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,midfield_line_height,-6.9886,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,forward_line_height,4.3734,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,line_height_gap,20.6361,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,team_width,40.5821,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,team_depth,35.2787,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,centroid_x,-4.4738,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,centroid_y,-1.8293,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,compactness,15.7785,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,avg_block_height,-4.4738,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,defensive_line_height,-15.33,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,20,midfield_line_height,-0.8984,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
