match_id,team,player_id,player_name,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,distance_covered_m,5112.8884,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,high_speed_distance_m,721.558,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,sprint_distance_m,120.7688,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,max_speed_kmh,29.736,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,avg_speed_kmh,9.1447,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,minutes_played,32.594,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,live_minutes,14.7553,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,distance_covered_m,2435.6408,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,high_speed_distance_m,325.9588,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,sprint_distance_m,176.6508,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,max_speed_kmh,33.552,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,avg_speed_kmh,9.904,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,distance_covered_m,3501.5136,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,high_speed_distance_m,18.3476,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,sprint_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,max_speed_kmh,22.86,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,avg_speed_kmh,4.3495,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,minutes_played,73.6593,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,live_minutes,37.8367,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,distance_covered_m,6775.678,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,high_speed_distance_m,1237.7524,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,sprint_distance_m,370.1748,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,max_speed_kmh,30.744,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,avg_speed_kmh,10.7446,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,minutes_played,0,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,live_minutes,0,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,distance_covered_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,high_speed_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,sprint_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
